layer,arm,example,rho,abs_error
11,none,4,0.16690059006214142,0.8330994099378586
11,none,5,0.1059202179312706,0.8940797820687294
11,none,6,0.19159936904907227,0.8084006309509277
11,none,7,0.16149812936782837,0.8385018706321716
11,none,8,0.1175474226474762,0.8824525773525238
11,none,9,0.1166376993060112,0.8833623006939888
15,all,0,0.9999759197235107,2.4080276489257812e-05
15,all,1,0.9999017715454102,9.822845458984375e-05
15,all,2,0.9999113082885742,8.869171142578125e-05
15,all,3,1.0001884698867798,0.00018846988677978516
15,all,4,0.999923050403595,7.69495964050293e-05
15,all,5,0.9998713135719299,0.00012868642807006836
15,all,6,0.999900758266449,9.924173355102539e-05
15,all,7,1.0001888275146484,0.0001888275146484375
15,all,8,0.9996715188026428,0.00032848119735717773
15,all,9,0.99997878074646,2.1219253540039062e-05
15,no_attn,0,1.1095699071884155,0.10956990718841553
15,no_attn,1,1.380281925201416,0.380281925201416
15,no_attn,2,1.3115891218185425,0.3115891218185425
15,no_attn,3,1.2152129411697388,0.21521294116973877
15,no_attn,4,1.297411561012268,0.29741156101226807
15,no_attn,5,1.2207920551300049,0.22079205513000488
15,no_attn,6,1.2572299242019653,0.25722992420196533
15,no_attn,7,1.206558346748352,0.20655834674835205
15,no_attn,8,1.136910080909729,0.136910080909729
15,no_attn,9,0.9606296420097351,0.03937035799026489
15,no_ln,0,-0.008836928755044937,1.008836928755045
15,no_ln,1,-0.02978193573653698,1.029781935736537
15,no_ln,2,-0.025064686313271523,1.0250646863132715
15,no_ln,3,0.006632818374782801,0.9933671816252172
15,no_ln,4,-0.010525640100240707,1.0105256401002407
15,no_ln,5,0.022763483226299286,0.9772365167737007
15,no_ln,6,0.053316205739974976,0.946683794260025
15,no_ln,7,0.03429461643099785,0.9657053835690022
15,no_ln,8,0.0450579859316349,0.9549420140683651
15,no_ln,9,0.04579736664891243,0.9542026333510876
15,no_identity,0,0.7257713675498962,0.27422863245010376
15,no_identity,1,0.627878725528717,0.37212127447128296
15,no_identity,2,0.6279669404029846,0.3720330595970154
15,no_identity,3,0.5985373258590698,0.4014626741409302
15,no_identity,4,0.6443136930465698,0.3556863069534302
15,no_identity,5,0.6116924285888672,0.3883075714111328
15,no_identity,6,0.6216995120048523,0.3783004879951477
15,no_identity,7,0.6282290816307068,0.3717709183692932
15,no_identity,8,0.6001601815223694,0.3998398184776306
15,no_identity,9,0.5795938968658447,0.4204061031341553
15,no_half,0,6.122841835021973,5.122841835021973
15,no_half,1,5.850008964538574,4.850008964538574
15,no_half,2,5.637630462646484,4.637630462646484
15,no_half,3,5.229283332824707,4.229283332824707
15,no_half,4,5.599050045013428,4.599050045013428
15,no_half,5,4.803330898284912,3.803330898284912
15,no_half,6,4.229042053222656,3.2290420532226562
15,no_half,7,4.670926570892334,3.670926570892334
15,no_half,8,4.114544868469238,3.1145448684692383
15,no_half,9,4.472294807434082,3.472294807434082
15,none,0,0.1200934424996376,0.8799065575003624
15,none,1,-0.006532095372676849,1.0065320953726768
15,none,2,0.03725565969944,0.96274434030056
15,none,3,0.058658428490161896,0.9413415715098381
15,none,4,0.08733992278575897,0.912660077214241
15,none,5,0.015412474982440472,0.9845875250175595
15,none,6,0.21335379779338837,0.7866462022066116
15,none,7,0.11643008142709732,0.8835699185729027
15,none,8,0.1576702892780304,0.8423297107219696
15,none,9,0.09630652517080307,0.9036934748291969
19,all,0,0.9999628067016602,3.719329833984375e-05
19,all,1,0.9998841881752014,0.00011581182479858398
19,all,2,0.9999129176139832,8.70823860168457e-05
19,all,3,0.9999901652336121,9.834766387939453e-06
19,all,4,0.9999216794967651,7.832050323486328e-05
19,all,5,1.0000237226486206,2.372264862060547e-05
19,all,6,0.9998971223831177,0.00010287761688232422
19,all,7,1.0001411437988281,0.000141143798828125
19,all,8,0.9997087121009827,0.000291287899017334
