model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,trust_chain,1,72,0.004984872928753863,0.6805555555555556,0.5,0.768458310138355,0.033086776686971554,0.0281019037582177,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,11,24281, vulnerable,trusted_expr,1,72,-0.01313757898519973,0.5555555555555556,0.846,-0.7018620519701358,0.02311764400027437,0.036255222985474095,1.0,9.376973508778974e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,other,0,72,-0.6614172477479427,0.5416666666666666,0.938,-0.7378115594445843,0.9053668005457397,1.5667840482936828,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,signature,1,72,0.3188186664339929,0.3888888888888889,0.952,0.7356510029554272,-0.001634127262778932,-0.32045279369677193,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,sink_arg,0,72,0.003891465584035541,0.7222222222222222,0.646,0.6532878617644042,0.0173508704388471,0.013459404854811556,0.6111111111111112,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,sink_call,1,72,0.21918556614272716,0.3472222222222222,0.926,0.6209619119234857,-0.009376861744191504,-0.2285624278869187,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,source_expr,1,72,0.16293184289201032,0.4861111111111111,0.952,0.9203308605987324,0.0065084381583024676,-0.1564234047337078,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,taint_chain,1,72,-0.010844541269439213,0.5972222222222222,0.814,-0.6731195378130356,0.031221174012477378,0.04206571528191659,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,trust_chain,1,72,-0.008999555877338717,0.6666666666666666,0.952,-0.5262768441183625,0.03222208028435658,0.0412216361616953,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,5723, safe,trusted_expr,1,72,-0.023566603837585305,0.5,0.664,-0.8949087884570825,0.018341820299688328,0.04190842413727363,1.0,1.3706796464507676e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,other,0,72,-0.09716743113189127,0.5416666666666666,0.926,-0.2672332183836807,0.8709703531485541,0.9681377842804453,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,signature,1,72,0.04488442785467969,0.3888888888888889,0.944,0.26126403953453087,0.0135656322878833,-0.0313187955667964,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,sink_arg,0,72,0.006937547833851445,0.6944444444444444,0.03,2.0874958765695726,0.017124189830880782,0.010186641997029337,0.6111111111111112,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,sink_call,1,72,0.0036701818207687253,0.3333333333333333,0.984,0.01894809648910705,0.008158161636122704,0.004487979815354,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,source_expr,1,72,0.04807710184388765,0.4722222222222222,0.948,0.7561283843684663,0.009767696410644297,-0.03830940543324334,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,taint_chain,1,72,-0.0004972217884207501,0.5972222222222222,0.96,-0.04835528179110212,0.03111621313325937,0.03161343492168012,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,trust_chain,1,72,0.0012943030900775625,0.625,0.892,0.19717677281092885,0.031517015853318564,0.030222712763241004,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,15,24281, vulnerable,trusted_expr,1,72,-0.007198985783151778,0.5,0.656,-0.6411898724318412,0.017780846939380514,0.02497983272253229,1.0,1.0508704417766523e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,other,0,72,-0.7176987251819543,0.5555555555555556,0.932,-0.7363429080621731,1.0007300389559057,1.7184287641378606,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,signature,1,72,0.33195247254552523,0.3611111111111111,0.952,0.7322817950828078,-0.025805194738265497,-0.3577576672837907,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,sink_arg,0,72,-0.007105112498122125,0.75,1.0,-0.4970021783588838,0.015299509101538508,0.022404621599660637,0.6111111111111112,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,sink_call,1,72,0.21486340526120765,0.4027777777777778,0.888,0.6135181699590656,-0.049155576719940065,-0.26401898198114776,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,source_expr,1,72,0.216040885048838,0.4305555555555556,0.952,0.8945000077317481,-0.0073699029575598944,-0.22341078800639794,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,taint_chain,1,72,-0.00978068183574831,0.4444444444444444,0.754,-0.6848526179540229,0.023973851208367068,0.03375453304411538,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,trust_chain,1,72,-0.01195074270699161,0.75,0.978,-0.5362234768610117,0.03137683246527507,0.04332757517226668,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,5723, safe,trusted_expr,1,72,-0.01632207287585217,0.4861111111111111,0.386,-1.03083817609738,0.0109506345610827,0.02727270743693487,1.0,1.1493953322450068e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,other,0,72,-0.10448911594384586,0.5555555555555556,0.922,-0.2708406677528831,0.9539495893158713,1.058438705259717,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,signature,1,72,0.04492458689465901,0.3888888888888889,0.946,0.2529308852594099,-0.008113014291505903,-0.05303760118616488,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,sink_arg,0,72,0.002843919777046628,0.7361111111111112,0.782,0.43065821838770335,0.0161342417007534,0.01329032192370677,0.6111111111111112,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,sink_call,1,72,0.0038402507104073427,0.4027777777777778,0.986,0.021078393675404684,-0.02601707387408114,-0.029857324584488427,1.0,8.967071141174898e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,19,24281, vulnerable,source_expr,1,72,0.058498656666335545,0.4444444444444444,0.95,0.6732190545320325,-0.0026949895391962606,-0.061193646205531776,1.0,8.967071141174898e-08
