model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,27,last_token,rename_opaque_encode,logit,rlens,0.743611399081989,0.7405015579054739,196
starcoder2-3b,27,last_token,rename_opaque_encode_flatten,jlens,logit,0.7889605949695626,0.8180541720788276,196
starcoder2-3b,27,last_token,rename_opaque_encode_flatten,jlens,rlens,0.9992734853181349,0.9985895178063416,196
starcoder2-3b,27,last_token,rename_opaque_encode_flatten,logit,rlens,0.7940942879449409,0.8236084437679798,196
starcoder2-3b,29,last_token,clean_heldout,jlens,logit,0.9999998557747912,0.9999936249392378,196
starcoder2-3b,29,last_token,clean_heldout,jlens,rlens,1.0000000000000004,1.0,196
starcoder2-3b,29,last_token,clean_heldout,logit,rlens,0.9999998557747912,0.9999936249392378,196
starcoder2-3b,29,last_token,encode_only,jlens,logit,0.9999985127681796,0.9999808748177133,196
starcoder2-3b,29,last_token,encode_only,jlens,rlens,1.0,1.0,196
starcoder2-3b,29,last_token,encode_only,logit,rlens,0.9999985127681796,0.9999808748177133,196
starcoder2-3b,29,last_token,flatten_only,jlens,logit,0.9999994080174691,0.9999872498784754,196
starcoder2-3b,29,last_token,flatten_only,jlens,rlens,0.9999999999999999,1.0,196
starcoder2-3b,29,last_token,flatten_only,logit,rlens,0.9999994080174691,0.9999872498784754,196
starcoder2-3b,29,last_token,normalize,jlens,logit,0.9999986560426326,0.9999872498784754,196
starcoder2-3b,29,last_token,normalize,jlens,rlens,1.0000000000000004,1.0,196
starcoder2-3b,29,last_token,normalize,logit,rlens,0.9999986560426326,0.9999872498784754,196
starcoder2-3b,29,last_token,opaque_only,jlens,logit,0.9999993166694418,0.9999904374088566,196
starcoder2-3b,29,last_token,opaque_only,jlens,rlens,0.9999999999999999,1.0,196
starcoder2-3b,29,last_token,opaque_only,logit,rlens,0.9999993166694418,0.9999904374088566,196
starcoder2-3b,29,last_token,rename_cumulative,jlens,logit,0.9999991635109171,0.9999904374088566,196
starcoder2-3b,29,last_token,rename_cumulative,jlens,rlens,1.0,1.0,196
starcoder2-3b,29,last_token,rename_cumulative,logit,rlens,0.9999991635109171,0.9999904374088566,196
